k,1,2,3,4,5,10,15,20,25,50,75,100,150,200
alpha/gamma,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Hit Rate Avg,0.973357,0.973357,0.974643,0.976214,0.976071,0.976095,0.975095,0.973167,0.971,0.967333,0.96319,0.959381,0.953929,0.948833
Hit Rate STD,0.00273229,0.00273229,0.00221889,0.0024198,0.00281366,0.00279739,0.0030083,0.00269174,0.00246242,0.00239472,0.00249307,0.00277092,0.00364255,0.0034379
Precision Avg,0.97326,0.97326,0.97467,0.976255,0.976137,0.976238,0.975292,0.973468,0.971397,0.967867,0.96387,0.960199,0.955147,0.95046
Precision STD,0.00280504,0.00280504,0.0022541,0.00241396,0.00279643,0.00282436,0.00305555,0.00274658,0.0025587,0.00253566,0.00269262,0.00300086,0.00374517,0.0035947
Recall Avg,0.973122,0.973122,0.974316,0.975946,0.975836,0.975847,0.974834,0.972863,0.97066,0.966934,0.962769,0.958874,0.953391,0.948251
Recall STD,0.00272006,0.00272006,0.00225708,0.00241557,0.00279353,0.00282073,0.00304921,0.00274526,0.00248223,0.00245558,0.00255996,0.00293004,0.00369227,0.00350332
F1 Score Avg,0.973191,0.973191,0.974493,0.9761,0.975987,0.976043,0.975063,0.973165,0.971029,0.967401,0.963319,0.959536,0.954268,0.949354
F1 Score STD,0.00276054,0.00276054,0.00225207,0.00241291,0.00279339,0.00282122,0.00305096,0.00274381,0.00251755,0.00249102,0.00262249,0.00296273,0.00371604,0.00354651
Default Process Time Avg,368052,368052,368052,368052,368052,368052,368052,368052,368052,368052,368052,368052,368052,368052
Default Process Time STD,22584.4,22584.4,22584.4,22584.4,22584.4,22584.4,22584.4,22584.4,22584.4,22584.4,22584.4,22584.4,22584.4,22584.4
KNN Total Time Avg,21353.4,21353.4,21353.4,21353.4,21353.4,21353.4,21353.4,21353.4,21353.4,21353.4,21353.4,21353.4,21353.4,21353.4
KNN Total Time STD,227.509,227.509,227.509,227.509,227.509,227.509,227.509,227.509,227.509,227.509,227.509,227.509,227.509,227.509
KNN Per Image Time Avg,5,5,5,5,5,5,5,5,5,5,5,5,5,5
KNN Per Image Time STD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Preprocess Dimension Time Avg,39421.9,39421.9,39421.9,39421.9,39421.9,39421.9,39421.9,39421.9,39421.9,39421.9,39421.9,39421.9,39421.9,39421.9
Preprocess Dimension Time STD,1130.01,1130.01,1130.01,1130.01,1130.01,1130.01,1130.01,1130.01,1130.01,1130.01,1130.01,1130.01,1130.01,1130.01
TC Time Avg,1605.1,1605.1,1605.1,1605.1,1605.1,1605.1,1605.1,1605.1,1605.1,1605.1,1605.1,1605.1,1605.1,1605.1
TC Time STD,36.9065,36.9065,36.9065,36.9065,36.9065,36.9065,36.9065,36.9065,36.9065,36.9065,36.9065,36.9065,36.9065,36.9065
