k,1,2,3,4,5,10,15,20,25,50,75,100,150,200
alpha/gamma,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Hit Rate Avg,0.971405,0.971405,0.972452,0.97369,0.973905,0.973619,0.972048,0.97019,0.968119,0.964214,0.958786,0.953786,0.94819,0.94281
Hit Rate STD,0.00265655,0.00265655,0.0021588,0.00249546,0.00300642,0.00297533,0.0029589,0.00268489,0.00283813,0.00255118,0.00342303,0.00336625,0.00384537,0.00405154
Precision Avg,0.971356,0.971356,0.972558,0.973796,0.974054,0.973906,0.972479,0.970759,0.968808,0.965095,0.960013,0.955431,0.950433,0.945664
Precision STD,0.00273988,0.00273988,0.00225191,0.00260996,0.00315425,0.00311819,0.00311081,0.0028596,0.00304386,0.00281547,0.00359819,0.00361424,0.00400752,0.00419442
Recall Avg,0.971051,0.971051,0.972017,0.973314,0.973527,0.97321,0.971645,0.969761,0.967652,0.963697,0.958207,0.953146,0.947479,0.942016
Recall STD,0.00278971,0.00278971,0.00227125,0.00253711,0.00305812,0.0030632,0.00301098,0.002756,0.00290193,0.00262325,0.00351796,0.00351723,0.00392378,0.0041423
F1 Score Avg,0.971203,0.971203,0.972288,0.973555,0.97379,0.973558,0.972062,0.97026,0.96823,0.964396,0.959109,0.954287,0.948954,0.943836
F1 Score STD,0.00276363,0.00276363,0.00225696,0.00257066,0.0031047,0.00308658,0.00305595,0.0028029,0.00296859,0.00271116,0.00355186,0.00355882,0.00395851,0.0041605
Default Process Time Avg,364061,364061,364061,364061,364061,364061,364061,364061,364061,364061,364061,364061,364061,364061
Default Process Time STD,7336.26,7336.26,7336.26,7336.26,7336.26,7336.26,7336.26,7336.26,7336.26,7336.26,7336.26,7336.26,7336.26,7336.26
KNN Total Time Avg,30982.9,30982.9,30982.9,30982.9,30982.9,30982.9,30982.9,30982.9,30982.9,30982.9,30982.9,30982.9,30982.9,30982.9
KNN Total Time STD,1308.26,1308.26,1308.26,1308.26,1308.26,1308.26,1308.26,1308.26,1308.26,1308.26,1308.26,1308.26,1308.26,1308.26
KNN Per Image Time Avg,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
KNN Per Image Time STD,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Preprocess Dimension Time Avg,78538.6,78538.6,78538.6,78538.6,78538.6,78538.6,78538.6,78538.6,78538.6,78538.6,78538.6,78538.6,78538.6,78538.6
Preprocess Dimension Time STD,1954.44,1954.44,1954.44,1954.44,1954.44,1954.44,1954.44,1954.44,1954.44,1954.44,1954.44,1954.44,1954.44,1954.44
TC Time Avg,3249.3,3249.3,3249.3,3249.3,3249.3,3249.3,3249.3,3249.3,3249.3,3249.3,3249.3,3249.3,3249.3,3249.3
TC Time STD,112.938,112.938,112.938,112.938,112.938,112.938,112.938,112.938,112.938,112.938,112.938,112.938,112.938,112.938
