735550,20131113,     4, -1,  89,     2,  1,  83
735550,20131113,    20, -1,  95,     1,  1,  91
735550,20131113,    28, -1, 103,    15,  1,  87
735550,20131113,    18,  1, 124,     6, -1,  95
735550,20131113,    27,  1,  92,    30, -1,  79
735550,20131113,     8,  1, 111,    14, -1,  99
735550,20131113,    29,  1, 111,    19, -1, 105
735550,20131113,    25,  1,  90,    24, -1,  89
735550,20131113,    26,  1, 107,     3, -1,  86
735550,20131113,    13,  1, 111,    21, -1, 103
735551,20131114,    11, -1, 109,    20,  1, 106
735551,20131114,    10,  1, 116,    21, -1, 115
735552,20131115,    12,  1, 104,    17, -1,  77
735552,20131115,     5, -1,  96,    28,  1,  80
735552,20131115,     1,  1, 113,    23, -1, 103
735552,20131115,    25, -1, 109,     2,  1,  96
735552,20131115,     4, -1,  86,     6,  1,  80
735552,20131115,    16,  1, 110,     7, -1, 104
735552,20131115,     8,  1, 117,    18, -1, 113
735552,20131115,     3, -1, 100,    24,  1,  98
735552,20131115,    27, -1,  91,    29,  1,  82
735552,20131115,    15, -1,  89,    14,  1,  86
735552,20131115,     9, -1,  97,    26,  1,  90
735553,20131116,    16, -1,  97,     4,  1,  81
735553,20131116,     7, -1, 108,    22,  1, 100
735553,20131116,     6, -1, 103,    30,  1,  96
735553,20131116,     1, -1, 110,    20,  1,  90
735553,20131116,     5,  1, 110,    12, -1,  94
735553,20131116,    11,  1, 122,     8, -1, 111
735553,20131116,    18,  1, 106,     2, -1,  88
735553,20131116,    19,  1, 135,    23, -1,  98
735553,20131116,    21, -1,  92,    17,  1,  79
735553,20131116,    10,  1, 102,    29, -1,  88
735553,20131116,    13,  1, 110,     3, -1, 103
735554,20131117,    25, -1, 118,    28,  1, 110
735554,20131117,    15, -1,  97,    26,  1,  86
735554,20131117,    14,  1, 114,     9, -1,  99
735555,20131118,    25, -1, 108,     3,  1,  98
735555,20131118,     5,  1,  86,     4, -1,  81
735555,20131118,    21,  1, 115,     8, -1, 113
735555,20131118,     7,  1,  97,    23, -1,  94
735555,20131118,    10, -1,  98,    29,  1,  87
735555,20131118,    15, -1, 106,    13,  1, 102
735556,20131119,    30,  1, 104,    18, -1, 100
735556,20131119,     9,  1,  92,    20, -1,  86
735556,20131119,    16,  1, 104,     1, -1,  88
735556,20131119,    11,  1, 109,     2, -1,  85
735556,20131119,    26,  1, 107,    24, -1, 104
735557,20131120,     4,  1,  95,     3, -1,  91
735557,20131120,    30, -1,  98,     6,  1,  91
735557,20131120,    12, -1, 103,    20,  1,  96
735557,20131120,    16, -1, 120,    22,  1,  92
735557,20131120,    28, -1, 108,    23,  1,  98
735557,20131120,     1,  1,  93,     9, -1,  85
735557,20131120,    25, -1,  91,    17,  1,  82
735557,20131120,    13, -1, 102,    18,  1,  98
735557,20131120,    19,  1, 105,    29, -1,  98
735557,20131120,    27,  1, 104,     2, -1,  93
735557,20131120,    26, -1, 113,    24,  1, 106
735557,20131120,     7,  1, 123,    11, -1, 120
735557,20131120,    15, -1,  88,    10,  1,  81
735558,20131121,    21,  1, 105,    13, -1,  91
735558,20131121,     8,  1,  97,     5, -1,  87
735559,20131122,    24, -1,  98,     4,  1,  91
735559,20131122,    23,  1, 115,    17, -1, 107
735559,20131122,    28,  1,  96,    30, -1,  88
735559,20131122,    12, -1,  97,     2,  1,  82
735559,20131122,     1, -1,  96,     9,  1,  89
735559,20131122,    27, -1, 102,    15,  1,  86
735559,20131122,    18,  1, 111,     3, -1,  81
735559,20131122,    19,  1, 104,     6, -1, 100
735559,20131122,     7,  1, 103,    29, -1,  93
735559,20131122,    25,  1,  98,     5, -1,  95
735559,20131122,    14,  1, 102,    10, -1,  95
735560,20131123,    13,  1, 103,    26, -1, 102
735560,20131123,    12,  1, 106,    23, -1,  98
735560,20131123,    30,  1,  98,    20, -1,  89
735560,20131123,     2, -1,  94,     1,  1,  87
735560,20131123,    16,  1, 101,    22, -1,  99
735560,20131123,    11,  1, 112,    18, -1, 101
735560,20131123,     4, -1,  96,    17,  1,  72
735560,20131123,    27,  1, 126,     6, -1,  96
735560,20131123,     8,  1, 102,     7, -1, 100
735560,20131123,    25, -1, 113,    10,  1, 101
735561,20131124,     9, -1, 109,     3,  1,  97
735561,20131124,    13,  1, 121,     5, -1,  82
735561,20131124,    24, -1, 104,    22,  1,  96
735561,20131124,    21,  1,  95,    29, -1,  73
735561,20131124,    14,  1, 100,    26, -1,  86
735562,20131125,     2, -1,  96,     4,  1,  86
735562,20131125,    12,  1,  98,    18, -1,  84
735562,20131125,     9,  1, 113,    17, -1,  94
735562,20131125,    16,  1, 107,    24, -1,  92
735562,20131125,    11, -1,  93,    15,  1,  86
735562,20131125,     8, -1, 110,     7,  1,  96
735562,20131125,    27,  1, 112,    19, -1,  93
735562,20131125,    29,  1,  89,     5, -1,  83
735562,20131125,    25,  1, 102,    20, -1,  91
735563,20131126,     3, -1, 102,    28,  1, 100
735563,20131126,    30,  1, 116,    14, -1, 111
735563,20131126,    22, -1, 109,     1,  1,  92
735563,20131126,    10, -1, 102,    19,  1, 101
735564,20131127,    12, -1,  99,     4,  1,  74
735564,20131127,    22,  1, 105,    23, -1,  94
735564,20131127,    15, -1, 100,     2,  1,  93
735564,20131127,    14, -1,  99,     3,  1,  94
735564,20131127,    16, -1,  95,     6,  1,  84
735564,20131127,     5, -1,  99,     9,  1,  79
735564,20131127,    11,  1, 113,     1, -1,  84
735564,20131127,    30, -1, 100,    17,  1,  92
735564,20131127,     8, -1, 117,    18,  1, 110
735564,20131127,    21,  1,  94,    27, -1,  88
735564,20131127,     7,  1, 103,    10, -1,  99
735564,20131127,    24,  1, 120,    25, -1, 106
735564,20131127,    13,  1,  93,    20, -1,  80
735566,20131129,     4,  1,  92,    17, -1,  76
735566,20131129,    27, -1, 109,    22,  1,  91
735566,20131129,    16, -1,  90,    28,  1,  83
735566,20131129,     1,  1,  88,     7, -1,  87
735566,20131129,     2,  1, 103,     6, -1,  86
735566,20131129,    14, -1, 106,     9,  1, 102
735566,20131129,    11,  1, 114,     3, -1,  95
735566,20131129,    12,  1,  93,    30, -1,  73
735566,20131129,    21,  1, 113,    10, -1, 112
735566,20131129,    19, -1, 121,    23,  1, 105
735566,20131129,     8,  1,  97,    20, -1,  95
735566,20131129,    24, -1, 112,    29,  1, 101
735566,20131129,    13, -1, 104,    26,  1,  98
735567,20131130,    30,  1, 108,     1, -1, 101
735567,20131130,     6,  1,  97,     5, -1,  93
735567,20131130,     3, -1,  97,    15,  1,  88
735567,20131130,    18, -1, 112,     7,  1, 106
735567,20131130,    11, -1, 112,    27,  1, 106
735567,20131130,    17,  1,  92,     2, -1,  85
735567,20131130,    29, -1, 112,    24,  1, 104
