Teams	CMM	WP
1	0.502603	0.52381
2	0.340435	0.333333
3	0.461616	0.463415
4	0.396886	0.422222
5	0.463542	0.5
6	0.352217	0.372093
7	0.561483	0.555556
8	0.50087	0.487805
9	0.378765	0.395349
10	0.618888	0.604651
11	0.650789	0.644444
12	0.770749	0.804878
13	0.666756	0.666667
14	0.383003	0.363636
15	0.539456	0.512195
16	0.66333	0.72093
17	0.190689	0.190476
18	0.500892	0.487805
19	0.436718	0.404762
20	0.373284	0.372093
21	0.77609	0.772727
22	0.27661	0.272727
23	0.315795	0.325581
24	0.593985	0.585366
25	0.737045	0.744186
26	0.418436	0.365854
27	0.768167	0.767442
28	0.52467	0.52381
29	0.374647	0.325581
30	0.461587	0.487805
