Number of eigenvalues,Accumulation,Percentage,Accumulation,Percentage
149,3255900,94.8130762197,311726,99.9990376256
150,3257510,94.8599600468,311726,99.9990376256
151,3259110,94.90655267,311726,99.9990376256
152,3260690,94.9525628855,311726,99.9990376256
153,3262260,94.998281897,311726,99.9990376256
154,3263810,95.0434185008,311726,99.9990376256
155,3265350,95.0882639006,311727,99.9993584171
156,3266870,95.1325268927,311727,99.9993584171
157,3268370,95.176207477,311727,99.9993584171
158,3269830,95.2187232456,311727,99.9993584171
159,3271270,95.2606566065,311727,99.9993584171
160,3272700,95.3022987635,311727,99.9993584171
161,3274130,95.3439409206,311727,99.9993584171
162,3275520,95.384418262,311727,99.9993584171
163,3276890,95.4243131956,311727,99.9993584171
164,3278250,95.4639169254,311727,99.9993584171
165,3279600,95.5032294512,311727,99.9993584171
166,3280940,95.5422507731,311727,99.9993584171
167,3282250,95.5803984834,311727,99.9993584171
168,3283560,95.6185461937,311727,99.9993584171
169,3284850,95.6561114961,311727,99.9993584171
170,3286130,95.6933855947,311727,99.9993584171
171,3287390,95.7300772855,311727,99.9993584171
172,3288630,95.7661865685,311727,99.9993584171
173,3289870,95.8022958515,311727,99.9993584171
174,3291090,95.8378227267,311727,99.9993584171
175,3292310,95.8733496019,311727,99.9993584171
176,3293520,95.9085852732,311728,99.9996792085
177,3294700,95.9429473329,311728,99.9996792085
178,3295880,95.9773093925,311728,99.9996792085
179,3297060,96.0116714521,311728,99.9996792085
180,3298220,96.045451104,311728,99.9996792085
181,3299370,96.0789395519,311728,99.9996792085
182,3300500,96.111845592,311728,99.9996792085
183,3301620,96.1444604283,311728,99.9996792085
184,3302740,96.1770752646,311728,99.9996792085
185,3303840,96.209107693,311728,99.9996792085
186,3304940,96.2411401215,311728,99.9996792085
187,3306030,96.2728813461,311728,99.9996792085
188,3307120,96.3046225706,311728,99.9996792085
189,3308180,96.3354901835,311728,99.9996792085
190,3309250,96.3666490003,311728,99.9996792085
191,3310300,96.3972254093,311728,99.9996792085
192,3311350,96.4278018183,311728,99.9996792085
193,3312380,96.4577958195,311728,99.9996792085
194,3313400,96.4874986168,311728,99.9996792085
195,3314410,96.5169102102,311728,99.9996792085
196,3315420,96.5463218036,311728,99.9996792085
197,3316420,96.5754421931,311728,99.9996792085
198,3317420,96.6045625826,311728,99.9996792085
199,3318400,96.6331005644,311728,99.9996792085
200,3319370,96.6613473422,311728,99.9996792085
201,3320340,96.68959412,311728,99.9996792085
202,3321280,96.7169672862,311728,99.9996792085
203,3322230,96.7446316562,311728,99.9996792085
204,3323160,96.7717136184,311728,99.9996792085
205,3324080,96.7985043768,311728,99.9996792085
206,3324990,96.8250039313,311728,99.9996792085
207,3325900,96.8515034857,311728,99.9996792085
208,3326800,96.8777118363,311728,99.9996792085
209,3327690,96.9036289829,311728,99.9996792085
210,3328580,96.9295461296,311728,99.9996792085
211,3329460,96.9551720724,311728,99.9996792085
212,3330340,96.9807980152,311728,99.9996792085
213,3331210,97.006132754,311728,99.9996792085
214,3332080,97.0314674929,311728,99.9996792085
215,3332940,97.0565110279,311728,99.9996792085
216,3333790,97.081263359,311728,99.9996792085
217,3334640,97.1060156901,311728,99.9996792085
218,3335480,97.1304768173,311728,99.9996792085
219,3336320,97.1549379445,311728,99.9996792085
220,3337150,97.1791078677,311728,99.9996792085
221,3337970,97.2029865871,311728,99.9996792085
222,3338790,97.2268653066,311729,100
223,3339610,97.250744026,311729,100
224,3340430,97.2746227454,311729,100
225,3341220,97.2976278531,311729,100
226,3342020,97.3209241647,311729,100
227,3342800,97.3436380685,311729,100
228,3343580,97.3663519723,311729,100
229,3344360,97.3890658761,311729,100
230,3345130,97.4114885761,311729,100
231,3345890,97.4336200721,311729,100
232,3346640,97.4554603642,311729,100
233,3347390,97.4773006564,311729,100
234,3348130,97.4988497446,311729,100
235,3348870,97.5203988329,311729,100
236,3349600,97.5416567172,311729,100
237,3350330,97.5629146015,311729,100
238,3351050,97.583881282,311729,100
239,3351770,97.6048479624,311729,100
240,3352470,97.6252322351,311729,100
241,3353170,97.6456165078,311729,100
242,3353870,97.6660007804,311729,100
243,3354560,97.6860938492,311729,100
244,3355250,97.706186918,311729,100
245,3355930,97.7259887828,311729,100
246,3356600,97.7454994438,311729,100
247,3357270,97.7650101048,311729,100
248,3357940,97.7845207657,311729,100
249,3358600,97.8037402228,311729,100
250,3359260,97.8229596799,311729,100
251,3359910,97.8418879331,311729,100
252,3360560,97.8608161863,311729,100
253,3361200,97.8794532356,311729,100
254,3361840,97.8980902849,311729,100
255,3362470,97.9164361302,311729,100
256,3363100,97.9347819756,311729,100
257,3363730,97.953127821,311729,100
258,3364360,97.9714736664,311729,100
259,3364980,97.9895283079,311729,100
260,3365600,98.0075829494,311729,100
261,3366200,98.0250551831,311729,100
262,3366810,98.0428186207,311729,100
263,3367410,98.0602908545,311729,100
264,3368000,98.0774718843,311729,100
265,3368590,98.0946529141,311729,100
266,3369180,98.1118339439,311729,100
267,3369770,98.1290149737,311729,100
268,3370350,98.1459047996,311729,100
269,3370930,98.1627946255,311729,100
270,3371500,98.1793932476,311729,100
271,3372080,98.1962830735,311729,100
272,3372640,98.2125904916,311729,100
273,3373200,98.2288979097,311729,100
274,3373760,98.2452053279,311729,100
275,3374320,98.261512746,311729,100
276,3374870,98.2775289602,311729,100
277,3375420,98.2935451745,311729,100
278,3375970,98.3095613887,311729,100
279,3376510,98.325286399,311729,100
280,3377050,98.3410114094,311729,100
281,3377580,98.3564452158,311729,100
282,3378110,98.3718790223,311729,100
283,3378640,98.3873128287,311729,100
284,3379160,98.4024554312,311729,100
285,3379680,98.4175980338,311729,100
286,3380200,98.4327406363,311729,100
287,3380710,98.447592035,311729,100
288,3381220,98.4624434336,311729,100
289,3381720,98.4770036284,311729,100
290,3382220,98.4915638232,311729,100
291,3382720,98.5061240179,311729,100
292,3383210,98.5203930088,311729,100
293,3383700,98.5346619996,311729,100
294,3384190,98.5489309905,311729,100
295,3384670,98.5629087775,311729,100
296,3385150,98.5768865644,311729,100
297,3385630,98.5908643514,311729,100
298,3386100,98.6045509345,311729,100
299,3386570,98.6182375175,311729,100
300,3387030,98.6316328967,311729,100
301,3387500,98.6453194798,311729,100
302,3387960,98.658714859,311729,100
303,3388420,98.6721102381,311729,100
304,3388870,98.6852144134,311729,100
305,3389320,98.6983185887,311729,100
306,3389770,98.711422764,311729,100
307,3390210,98.7242357354,311729,100
308,3390650,98.7370487068,311729,100
309,3391080,98.7495704743,311729,100
310,3391520,98.7623834456,311729,100
311,3391950,98.7749052131,311729,100
312,3392380,98.7874269806,311729,100
313,3392810,98.7999487481,311729,100
314,3393230,98.8121793117,311729,100
315,3393650,98.8244098753,311729,100
316,3394060,98.836349235,311729,100
317,3394480,98.8485797986,311729,100
318,3394890,98.8605191583,311729,100
319,3395300,98.872458518,311729,100
320,3395710,98.8843978777,311729,100
321,3396110,98.8960460335,311729,100
322,3396510,98.9076941893,311729,100
323,3396900,98.9190511412,311729,100
324,3397300,98.930699297,311729,100
325,3397690,98.9420562489,311729,100
326,3398070,98.953121997,311729,100
327,3398460,98.9644789489,311729,100
328,3398840,98.9755446969,311729,100
329,3399220,98.9866104449,311729,100
330,3399590,98.997384989,311729,100
331,3399970,99.008450737,311729,100
332,3400340,99.0192252812,311729,100
333,3400710,99.0299998253,311729,100
334,3401070,99.0404831655,311729,100
335,3401440,99.0512577096,311729,100
336,3401810,99.0620322537,311729,100
337,3402160,99.0722243901,311729,100
338,3402520,99.0827077303,311729,100
339,3402880,99.0931910705,311729,100
340,3403230,99.1033832069,311729,100
341,3403580,99.1135753432,311729,100
342,3403920,99.1234762756,311729,100
343,3404260,99.1333772081,311729,100
344,3404610,99.1435693444,311729,100
345,3404940,99.1531790729,311729,100
346,3405280,99.1630800054,311729,100
347,3405610,99.1726897339,311729,100
348,3405940,99.1822994624,311729,100
349,3406270,99.191909191,311729,100
350,3406590,99.2012277156,311729,100
351,3406910,99.2105462403,311729,100
352,3407230,99.2198647649,311729,100
353,3407540,99.2288920857,311729,100
354,3407850,99.2379194064,311729,100
355,3408160,99.2469467272,311729,100
356,3408470,99.2559740479,311729,100
357,3408780,99.2650013687,311729,100
358,3409090,99.2740286894,311729,100
359,3409390,99.2827648063,311729,100
360,3409690,99.2915009231,311729,100
361,3409990,99.30023704,311729,100
362,3410290,99.3089731568,311729,100
363,3410580,99.3174180698,311729,100
364,3410870,99.3258629827,311729,100
365,3411160,99.3343078957,311729,100
366,3411450,99.3427528087,311729,100
367,3411730,99.3509065177,311729,100
368,3412020,99.3593514307,311729,100
369,3412300,99.3675051397,311729,100
370,3412580,99.3756588488,311729,100
371,3412850,99.383521354,311729,100
372,3413120,99.3913838592,311729,100
373,3413390,99.3992463643,311729,100
374,3413660,99.4071088695,311729,100
375,3413920,99.4146801708,311729,100
376,3414190,99.4225426759,311729,100
377,3414450,99.4301139772,311729,100
378,3414700,99.4373940746,311729,100
379,3414960,99.4449653759,311729,100
380,3415210,99.4522454732,311729,100
381,3415460,99.4595255706,311729,100
382,3415710,99.466805668,311729,100
383,3415960,99.4740857654,311729,100
384,3416200,99.4810746589,311729,100
385,3416450,99.4883547562,311729,100
386,3416690,99.4953436497,311729,100
387,3416930,99.5023325432,311729,100
388,3417160,99.5090302328,311729,100
389,3417390,99.5157279224,311729,100
390,3417620,99.522425612,311729,100
391,3417850,99.5291233016,311729,100
392,3418080,99.5358209911,311729,100
393,3418300,99.5422274768,311729,100
394,3418520,99.5486339625,311729,100
395,3418740,99.5550404482,311729,100
396,3418950,99.56115573,311729,100
397,3419160,99.5672710118,311729,100
398,3419370,99.5733862936,311729,100
399,3419580,99.5795015754,311729,100
400,3419780,99.5853256533,311729,100
401,3419980,99.5911497312,311729,100
402,3420180,99.5969738091,311729,100
403,3420380,99.602797887,311729,100
404,3420580,99.6086219649,311729,100
405,3420770,99.6141548389,311729,100
406,3420970,99.6199789168,311729,100
407,3421160,99.6255117908,311729,100
408,3421340,99.630753461,311729,100
409,3421530,99.636286335,311729,100
410,3421710,99.6415280051,311729,100
411,3421900,99.6470608791,311729,100
412,3422080,99.6523025492,311729,100
413,3422260,99.6575442193,311729,100
414,3422430,99.6624946855,311729,100
415,3422610,99.6677363556,311729,100
416,3422780,99.6726868219,311729,100
417,3422950,99.6776372881,311729,100
418,3423120,99.6825877543,311729,100
419,3423290,99.6875382205,311729,100
420,3423460,99.6924886867,311729,100
421,3423620,99.6971479491,311729,100
422,3423780,99.7018072114,311729,100
423,3423940,99.7064664737,311729,100
424,3424100,99.711125736,311729,100
425,3424250,99.7154937944,311729,100
426,3424410,99.7201530568,311729,100
427,3424560,99.7245211152,311729,100
428,3424700,99.7285979697,311729,100
429,3424850,99.7329660282,311729,100
430,3425000,99.7373340866,311729,100
431,3425140,99.7414109411,311729,100
432,3425280,99.7454877956,311729,100
433,3425420,99.7495646502,311729,100
434,3425560,99.7536415047,311729,100
435,3425700,99.7577183592,311729,100
436,3425830,99.7615040099,311729,100
437,3425960,99.7652896605,311729,100
438,3426090,99.7690753112,311729,100
439,3426220,99.7728609618,311729,100
440,3426340,99.7763554085,311729,100
441,3426470,99.7801410592,311729,100
442,3426590,99.7836355059,311729,100
443,3426710,99.7871299527,311729,100
444,3426830,99.7906243994,311729,100
445,3426950,99.7941188461,311729,100
446,3427070,99.7976132929,311729,100
447,3427190,99.8011077396,311729,100
448,3427310,99.8046021864,311729,100
449,3427420,99.8078054292,311729,100
450,3427530,99.8110086721,311729,100
451,3427640,99.8142119149,311729,100
452,3427750,99.8174151577,311729,100
453,3427860,99.8206184006,311729,100
454,3427960,99.8235304395,311729,100
455,3428070,99.8267336824,311729,100
456,3428170,99.8296457213,311729,100
457,3428270,99.8325577603,311729,100
458,3428370,99.8354697992,311729,100
459,3428470,99.8383818382,311729,100
460,3428570,99.8412938771,311729,100
461,3428670,99.8442059161,311729,100
462,3428760,99.8468267512,311729,100
463,3428850,99.8494475862,311729,100
464,3428950,99.8523596252,311729,100
465,3429030,99.8546892563,311729,100
466,3429120,99.8573100914,311729,100
467,3429210,99.8599309264,311729,100
468,3429290,99.8622605576,311729,100
469,3429380,99.8648813927,311729,100
470,3429460,99.8672110238,311729,100
471,3429550,99.8698318589,311729,100
472,3429630,99.87216149,311729,100
473,3429710,99.8744911212,311729,100
474,3429790,99.8768207524,311729,100
475,3429870,99.8791503835,311729,100
476,3429940,99.8811888108,311729,100
477,3430020,99.8835184419,311729,100
478,3430090,99.8855568692,311729,100
479,3430160,99.8875952965,311729,100
480,3430240,99.8899249276,311729,100
481,3430310,99.8919633549,311729,100
482,3430380,99.8940017822,311729,100
483,3430450,99.8960402094,311729,100
484,3430520,99.8980786367,311729,100
485,3430590,99.900117064,311729,100
486,3430650,99.9018642873,311729,100
487,3430720,99.9039027146,311729,100
488,3430780,99.905649938,311729,100
489,3430850,99.9076883652,311729,100
490,3430910,99.9094355886,311729,100
491,3430970,99.911182812,311729,100
492,3431030,99.9129300354,311729,100
493,3431090,99.9146772587,311729,100
494,3431150,99.9164244821,311729,100
495,3431200,99.9178805016,311729,100
496,3431260,99.9196277249,311729,100
497,3431310,99.9210837444,311729,100
498,3431370,99.9228309678,311729,100
499,3431420,99.9242869873,311729,100
500,3431470,99.9257430067,311729,100
501,3431520,99.9271990262,311729,100
502,3431570,99.9286550457,311729,100
503,3431620,99.9301110652,311729,100
504,3431670,99.9315670846,311729,100
505,3431720,99.9330231041,311729,100
506,3431770,99.9344791236,311729,100
507,3431820,99.9359351431,311729,100
508,3431860,99.9370999586,311729,100
509,3431910,99.9385559781,311729,100
510,3431950,99.9397207937,311729,100
511,3432000,99.9411768132,311729,100
512,3432040,99.9423416288,311729,100
513,3432090,99.9437976482,311729,100
514,3432130,99.9449624638,311729,100
515,3432170,99.9461272794,311729,100
516,3432210,99.947292095,311729,100
517,3432250,99.9484569106,311729,100
518,3432290,99.9496217261,311729,100
519,3432330,99.9507865417,311729,100
520,3432370,99.9519513573,311729,100
521,3432410,99.9531161729,311729,100
522,3432450,99.9542809885,311729,100
523,3432480,99.9551546001,311729,100
524,3432520,99.9563194157,311729,100
525,3432550,99.9571930274,311729,100
526,3432590,99.958357843,311729,100
527,3432620,99.9592314547,311729,100
528,3432660,99.9603962703,311729,100
529,3432690,99.9612698819,311729,100
530,3432720,99.9621434936,311729,100
531,3432750,99.9630171053,311729,100
532,3432780,99.963890717,311729,100
533,3432810,99.9647643287,311729,100
534,3432840,99.9656379404,311729,100
535,3432870,99.9665115521,311729,100
536,3432900,99.9673851637,311729,100
537,3432930,99.9682587754,311729,100
538,3432950,99.9688411832,311729,100
539,3432980,99.9697147949,311729,100
540,3433010,99.9705884066,311729,100
541,3433030,99.9711708144,311729,100
542,3433060,99.9720444261,311729,100
543,3433080,99.9726268339,311729,100
544,3433110,99.9735004455,311729,100
545,3433130,99.9740828533,311729,100
546,3433150,99.9746652611,311729,100
547,3433180,99.9755388728,311729,100
548,3433200,99.9761212806,311729,100
549,3433220,99.9767036884,311729,100
550,3433240,99.9772860962,311729,100
551,3433260,99.977868504,311729,100
552,3433280,99.9784509118,311729,100
553,3433300,99.9790333195,311729,100
554,3433320,99.9796157273,311729,100
555,3433340,99.9801981351,311729,100
556,3433360,99.9807805429,311729,100
557,3433370,99.9810717468,311729,100
558,3433390,99.9816541546,311729,100
559,3433410,99.9822365624,311729,100
560,3433430,99.9828189702,311729,100
561,3433440,99.9831101741,311729,100
562,3433460,99.9836925819,311729,100
563,3433480,99.9842749897,311729,100
564,3433490,99.9845661936,311729,100
565,3433510,99.9851486013,311729,100
566,3433520,99.9854398052,311729,100
567,3433540,99.986022213,311729,100
568,3433550,99.9863134169,311729,100
569,3433560,99.9866046208,311729,100
570,3433580,99.9871870286,311729,100
571,3433590,99.9874782325,311729,100
572,3433600,99.9877694364,311729,100
573,3433620,99.9883518442,311729,100
574,3433630,99.9886430481,311729,100
575,3433640,99.988934252,311729,100
576,3433650,99.9892254559,311729,100
577,3433660,99.9895166598,311729,100
578,3433670,99.9898078637,311729,100
579,3433680,99.9900990676,311729,100
580,3433700,99.9906814754,311729,100
581,3433710,99.9909726793,311729,100
582,3433720,99.9912638831,311729,100
583,3433720,99.9912638831,311729,100
584,3433730,99.991555087,311729,100
585,3433740,99.9918462909,311729,100
586,3433750,99.9921374948,311729,100
587,3433760,99.9924286987,311729,100
588,3433770,99.9927199026,311729,100
589,3433780,99.9930111065,311729,100
590,3433790,99.9933023104,311729,100
591,3433790,99.9933023104,311729,100
592,3433800,99.9935935143,311729,100
593,3433810,99.9938847182,311729,100
594,3433820,99.9941759221,311729,100
595,3433820,99.9941759221,311729,100
596,3433830,99.994467126,311729,100
597,3433840,99.9947583299,311729,100
598,3433840,99.9947583299,311729,100
599,3433850,99.9950495338,311729,100
600,3433860,99.9953407377,311729,100
601,3433860,99.9953407377,311729,100
602,3433870,99.9956319416,311729,100
603,3433870,99.9956319416,311729,100
604,3433880,99.9959231455,311729,100
605,3433880,99.9959231455,311729,100
606,3433890,99.9962143494,311729,100
607,3433890,99.9962143494,311729,100
608,3433900,99.9965055533,311729,100
609,3433900,99.9965055533,311729,100
610,3433910,99.9967967572,311729,100
611,3433910,99.9967967572,311729,100
612,3433920,99.997087961,311729,100
613,3433920,99.997087961,311729,100
614,3433930,99.9973791649,311729,100
615,3433930,99.9973791649,311729,100
616,3433930,99.9973791649,311729,100
617,3433940,99.9976703688,311729,100
618,3433940,99.9976703688,311729,100
619,3433940,99.9976703688,311729,100
620,3433950,99.9979615727,311729,100
621,3433950,99.9979615727,311729,100
622,3433950,99.9979615727,311729,100
623,3433960,99.9982527766,311729,100
624,3433960,99.9982527766,311729,100
625,3433960,99.9982527766,311729,100
626,3433960,99.9982527766,311729,100
627,3433970,99.9985439805,311729,100
628,3433970,99.9985439805,311729,100
629,3433970,99.9985439805,311729,100
630,3433970,99.9985439805,311729,100
631,3433980,99.9988351844,311729,100
632,3433980,99.9988351844,311729,100
633,3433980,99.9988351844,311729,100
634,3433980,99.9988351844,311729,100
635,3433980,99.9988351844,311729,100
636,3433990,99.9991263883,311729,100
637,3433990,99.9991263883,311729,100
638,3433990,99.9991263883,311729,100
639,3433990,99.9991263883,311729,100
640,3433990,99.9991263883,311729,100
641,3433990,99.9991263883,311729,100
642,3434000,99.9994175922,311729,100
643,3434000,99.9994175922,311729,100
644,3434000,99.9994175922,311729,100
645,3434000,99.9994175922,311729,100
646,3434000,99.9994175922,311729,100
647,3434000,99.9994175922,311729,100
648,3434000,99.9994175922,311729,100
649,3434000,99.9994175922,311729,100
650,3434010,99.9997087961,311729,100
651,3434010,99.9997087961,311729,100
652,3434010,99.9997087961,311729,100
653,3434010,99.9997087961,311729,100
654,3434010,99.9997087961,311729,100
655,3434010,99.9997087961,311729,100
656,3434010,99.9997087961,311729,100
657,3434010,99.9997087961,311729,100
658,3434010,99.9997087961,311729,100
659,3434010,99.9997087961,311729,100
660,3434010,99.9997087961,311729,100
661,3434010,99.9997087961,311729,100
662,3434020,100,311729,100
663,3434020,100,311729,100
664,3434020,100,311729,100
665,3434020,100,311729,100
666,3434020,100,311729,100
667,3434020,100,311729,100
668,3434020,100,311729,100
669,3434020,100,311729,100
670,3434020,100,311729,100
671,3434020,100,311729,100
672,3434020,100,311729,100
673,3434020,100,311729,100
674,3434020,100,311729,100
675,3434020,100,311729,100
676,3434020,100,311729,100
677,3434020,100,311729,100
678,3434020,100,311729,100
679,3434020,100,311729,100
680,3434020,100,311729,100
681,3434020,100,311729,100
682,3434020,100,311729,100
683,3434020,100,311729,100
684,3434020,100,311729,100
685,3434020,100,311729,100
686,3434020,100,311729,100
687,3434020,100,311729,100
688,3434020,100,311729,100
689,3434020,100,311729,100
690,3434020,100,311729,100
691,3434020,100,311729,100
692,3434020,100,311729,100
693,3434020,100,311729,100
694,3434020,100,311729,100
695,3434020,100,311729,100
696,3434020,100,311729,100
697,3434020,100,311729,100
698,3434020,100,311729,100
699,3434020,100,311729,100
700,3434020,100,311729,100
701,3434020,100,311729,100
702,3434020,100,311729,100
703,3434020,100,311729,100
704,3434020,100,311729,100
705,3434020,100,311729,100
706,3434020,100,311729,100
707,3434020,100,311729,100
708,3434020,100,311729,100
709,3434020,100,311729,100
710,3434020,100,311729,100
711,3434020,100,311729,100
712,3434020,100,311729,100
713,3434020,100,311729,100
714,3434020,100,311729,100
715,3434020,100,311729,100
716,3434020,100,311729,100
717,3434020,100,311729,100
718,3434020,100,311729,100
719,3434020,100,311729,100
720,3434020,100,311729,100
721,3434020,100,311729,100
722,3434020,100,311729,100
723,3434020,100,311729,100
724,3434020,100,311729,100
725,3434020,100,311729,100
726,3434020,100,311729,100
727,3434020,100,311729,100
728,3434020,100,311729,100
729,3434020,100,311729,100
730,3434020,100,311729,100
731,3434020,100,311729,100
732,3434020,100,311729,100
733,3434020,100,311729,100
734,3434020,100,311729,100
735,3434020,100,311729,100
736,3434020,100,311729,100
