k,1
alpha/gamma,100
Hit Rate Avg,0.970357
Hit Rate STD,0.00137189
Precision Avg,0.970336
Precision STD,0.00142527
Recall Avg,0.969992
Recall STD,0.0014584
F1 Score Avg,0.970164
F1 Score STD,0.00144096
Default Process Time Avg,358879
Default Process Time STD,34615.9
KNN Total Time Avg,55855.2
KNN Total Time STD,2571.18
KNN Per Image Time Avg,6.2
KNN Per Image Time STD,0.4
Preprocess Dimension Time Avg,81842
Preprocess Dimension Time STD,4950.34
TC Time Avg,3246
TC Time STD,44.0136
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,4100,2,3,2,0,5,16,0,0,4,
1,0,4646,9,4,5,1,3,10,3,3,
2,21,16,4046,16,2,4,5,51,10,6,
3,4,5,27,4166,1,70,3,17,40,18,
4,3,21,0,0,3935,1,12,8,0,92,
5,10,2,1,53,2,3643,50,1,13,20,
6,13,5,2,2,7,20,4088,0,0,0,
7,0,31,20,2,10,1,0,4289,0,48,
8,4,18,16,56,11,54,16,8,3836,44,
9,10,4,3,23,61,10,3,58,10,4006,
----,-----,----
----,-----,----
k,2
alpha/gamma,100
Hit Rate Avg,0.970357
Hit Rate STD,0.00137189
Precision Avg,0.970336
Precision STD,0.00142527
Recall Avg,0.969992
Recall STD,0.0014584
F1 Score Avg,0.970164
F1 Score STD,0.00144096
Default Process Time Avg,358879
Default Process Time STD,34615.9
KNN Total Time Avg,55855.2
KNN Total Time STD,2571.18
KNN Per Image Time Avg,6.2
KNN Per Image Time STD,0.4
Preprocess Dimension Time Avg,81842
Preprocess Dimension Time STD,4950.34
TC Time Avg,3246
TC Time STD,44.0136
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,4100,2,3,2,0,5,16,0,0,4,
1,0,4646,9,4,5,1,3,10,3,3,
2,21,16,4046,16,2,4,5,51,10,6,
3,4,5,27,4166,1,70,3,17,40,18,
4,3,21,0,0,3935,1,12,8,0,92,
5,10,2,1,53,2,3643,50,1,13,20,
6,13,5,2,2,7,20,4088,0,0,0,
7,0,31,20,2,10,1,0,4289,0,48,
8,4,18,16,56,11,54,16,8,3836,44,
9,10,4,3,23,61,10,3,58,10,4006,
----,-----,----
----,-----,----
k,3
alpha/gamma,100
Hit Rate Avg,0.97119
Hit Rate STD,0.00114929
Precision Avg,0.97132
Precision STD,0.00112651
Recall Avg,0.970749
Recall STD,0.00121435
F1 Score Avg,0.971034
F1 Score STD,0.00117006
Default Process Time Avg,358879
Default Process Time STD,34615.9
KNN Total Time Avg,55855.2
KNN Total Time STD,2571.18
KNN Per Image Time Avg,6.2
KNN Per Image Time STD,0.4
Preprocess Dimension Time Avg,81842
Preprocess Dimension Time STD,4950.34
TC Time Avg,3246
TC Time STD,44.0136
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,4107,2,2,1,1,4,12,0,0,3,
1,0,4658,7,2,4,1,2,6,1,3,
2,25,21,4059,9,1,3,3,42,8,6,
