k,1,2,3,4,5,10,15,20,25,50,75,100,150,200
alpha/gamma,75,75,75,75,75,75,75,75,75,75,75,75,75,75
Hit Rate Avg,0.971024,0.971024,0.972071,0.973262,0.974143,0.97381,0.972476,0.970571,0.968738,0.964095,0.959167,0.9545,0.94881,0.942714
Hit Rate STD,0.00128351,0.00128351,0.00143767,0.00153493,0.00175836,0.00177057,0.00199972,0.00226804,0.00257385,0.00248761,0.00250283,0.00223531,0.00214682,0.00233455
Precision Avg,0.970982,0.970982,0.97214,0.973337,0.974287,0.974092,0.972846,0.971036,0.969316,0.964903,0.960288,0.955987,0.950814,0.945306
Precision STD,0.0013232,0.0013232,0.00144547,0.00160571,0.00175635,0.00176502,0.00202492,0.00228952,0.00255779,0.00243899,0.00241779,0.00214623,0.0020393,0.00220614
Recall Avg,0.970728,0.970728,0.971704,0.972911,0.973801,0.97348,0.97216,0.970212,0.968357,0.963625,0.958613,0.953894,0.948128,0.941943
Recall STD,0.00134738,0.00134738,0.00150561,0.00156006,0.00176761,0.00175534,0.00202587,0.00233538,0.00266734,0.00256632,0.00255129,0.00233919,0.00225533,0.00241126
F1 Score Avg,0.970855,0.970855,0.971922,0.973124,0.974044,0.973786,0.972503,0.970624,0.968836,0.964264,0.959449,0.954939,0.949469,0.943622
F1 Score STD,0.00133365,0.00133365,0.00147547,0.00158235,0.00176148,0.00175887,0.00202462,0.00231186,0.00261242,0.00250152,0.00248104,0.00223803,0.00214078,0.00229812
Default Process Time Avg,330655,330655,330655,330655,330655,330655,330655,330655,330655,330655,330655,330655,330655,330655
Default Process Time STD,24775.5,24775.5,24775.5,24775.5,24775.5,24775.5,24775.5,24775.5,24775.5,24775.5,24775.5,24775.5,24775.5,24775.5
KNN Total Time Avg,46464.6,46464.6,46464.6,46464.6,46464.6,46464.6,46464.6,46464.6,46464.6,46464.6,46464.6,46464.6,46464.6,46464.6
KNN Total Time STD,3258.15,3258.15,3258.15,3258.15,3258.15,3258.15,3258.15,3258.15,3258.15,3258.15,3258.15,3258.15,3258.15,3258.15
KNN Per Image Time Avg,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2
KNN Per Image Time STD,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Preprocess Dimension Time Avg,61943.8,61943.8,61943.8,61943.8,61943.8,61943.8,61943.8,61943.8,61943.8,61943.8,61943.8,61943.8,61943.8,61943.8
Preprocess Dimension Time STD,4282.73,4282.73,4282.73,4282.73,4282.73,4282.73,4282.73,4282.73,4282.73,4282.73,4282.73,4282.73,4282.73,4282.73
TC Time Avg,2548,2548,2548,2548,2548,2548,2548,2548,2548,2548,2548,2548,2548,2548
TC Time STD,172.07,172.07,172.07,172.07,172.07,172.07,172.07,172.07,172.07,172.07,172.07,172.07,172.07,172.07
