k,1,2,3,4,5,10,15,20,25,50,75,100,150,200
alpha/gamma,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Hit Rate Avg,0.972167,0.972167,0.973619,0.975167,0.974976,0.97481,0.973738,0.972119,0.97031,0.966214,0.962119,0.957548,0.951548,0.94631
Hit Rate STD,0.000885765,0.000885765,0.00119428,0.00111321,0.00111015,0.00149565,0.00158579,0.00201102,0.00181578,0.00254038,0.0026032,0.00180482,0.00213092,0.00212692
Precision Avg,0.972103,0.972103,0.973676,0.975219,0.975065,0.974987,0.973973,0.972459,0.970714,0.966764,0.962864,0.958471,0.952907,0.948074
Precision STD,0.000963281,0.000963281,0.00120503,0.00114493,0.00111844,0.0015458,0.00162964,0.0020332,0.00182618,0.00247616,0.00251411,0.00177549,0.00206993,0.00204982
Recall Avg,0.971918,0.971918,0.973311,0.974886,0.974695,0.974538,0.973452,0.971826,0.969975,0.965802,0.961658,0.957048,0.950993,0.945658
Recall STD,0.000949947,0.000949947,0.00127568,0.0011413,0.00111505,0.00152329,0.0016158,0.00205337,0.00191179,0.00262836,0.00267873,0.00194225,0.00230524,0.00233384
F1 Score Avg,0.97201,0.97201,0.973494,0.975053,0.97488,0.974763,0.973713,0.972142,0.970344,0.966282,0.962261,0.957759,0.951949,0.946864
F1 Score STD,0.00095568,0.00095568,0.00124022,0.00114269,0.00111654,0.00153399,0.00162223,0.00204257,0.00186812,0.00255129,0.00259512,0.00185489,0.00218455,0.00218444
Default Process Time Avg,341604,341604,341604,341604,341604,341604,341604,341604,341604,341604,341604,341604,341604,341604
Default Process Time STD,22758.9,22758.9,22758.9,22758.9,22758.9,22758.9,22758.9,22758.9,22758.9,22758.9,22758.9,22758.9,22758.9,22758.9
KNN Total Time Avg,34996.8,34996.8,34996.8,34996.8,34996.8,34996.8,34996.8,34996.8,34996.8,34996.8,34996.8,34996.8,34996.8,34996.8
KNN Total Time STD,1338.12,1338.12,1338.12,1338.12,1338.12,1338.12,1338.12,1338.12,1338.12,1338.12,1338.12,1338.12,1338.12,1338.12
KNN Per Image Time Avg,4,4,4,4,4,4,4,4,4,4,4,4,4,4
KNN Per Image Time STD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Preprocess Dimension Time Avg,40231.8,40231.8,40231.8,40231.8,40231.8,40231.8,40231.8,40231.8,40231.8,40231.8,40231.8,40231.8,40231.8,40231.8
Preprocess Dimension Time STD,2071.28,2071.28,2071.28,2071.28,2071.28,2071.28,2071.28,2071.28,2071.28,2071.28,2071.28,2071.28,2071.28,2071.28
TC Time Avg,1662.6,1662.6,1662.6,1662.6,1662.6,1662.6,1662.6,1662.6,1662.6,1662.6,1662.6,1662.6,1662.6,1662.6
TC Time STD,108.585,108.585,108.585,108.585,108.585,108.585,108.585,108.585,108.585,108.585,108.585,108.585,108.585,108.585
