k,1,2,3,4,5,10,15,20,25,50,75,100,150,200
alpha/gamma,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Hit Rate Avg,0.937262,0.937262,0.942238,0.946476,0.947762,0.948595,0.948024,0.946405,0.944595,0.941595,0.937619,0.934214,0.930024,0.926
Hit Rate STD,0.00355592,0.00355592,0.0021592,0.00203373,0.00273177,0.00260918,0.0025711,0.00262866,0.00311359,0.00291616,0.00304352,0.00358102,0.00322872,0.00314214
Precision Avg,0.93647,0.93647,0.941531,0.945767,0.947103,0.948009,0.947486,0.945854,0.944089,0.941134,0.937191,0.933891,0.929837,0.925942
Precision STD,0.00374429,0.00374429,0.00239609,0.00221978,0.00282285,0.00255788,0.00265619,0.00270626,0.00322782,0.00298227,0.00305316,0.00351995,0.00321277,0.00313376
Recall Avg,0.936543,0.936543,0.941394,0.945815,0.947176,0.948055,0.947509,0.945863,0.944028,0.941021,0.936957,0.933532,0.929283,0.925154
Recall STD,0.00376507,0.00376507,0.00236114,0.00209809,0.00271324,0.0024151,0.00246209,0.00254885,0.00304923,0.00282411,0.00287264,0.00336045,0.00304287,0.00300305
F1 Score Avg,0.936506,0.936506,0.941462,0.945791,0.947139,0.948032,0.947497,0.945858,0.944058,0.941077,0.937074,0.933711,0.929559,0.925548
F1 Score STD,0.0037479,0.0037479,0.00237388,0.00215378,0.00276445,0.00248264,0.00255609,0.00262479,0.00313554,0.00289915,0.00295759,0.00343593,0.00312467,0.00306334
Default Process Time Avg,364061,364061,364061,364061,364061,364061,364061,364061,364061,364061,364061,364061,364061,364061
Default Process Time STD,7336.26,7336.26,7336.26,7336.26,7336.26,7336.26,7336.26,7336.26,7336.26,7336.26,7336.26,7336.26,7336.26,7336.26
KNN Total Time Avg,12974,12974,12974,12974,12974,12974,12974,12974,12974,12974,12974,12974,12974,12974
KNN Total Time STD,321.917,321.917,321.917,321.917,321.917,321.917,321.917,321.917,321.917,321.917,321.917,321.917,321.917,321.917
KNN Per Image Time Avg,3,3,3,3,3,3,3,3,3,3,3,3,3,3
KNN Per Image Time STD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Preprocess Dimension Time Avg,112603,112603,112603,112603,112603,112603,112603,112603,112603,112603,112603,112603,112603,112603
Preprocess Dimension Time STD,3193.27,3193.27,3193.27,3193.27,3193.27,3193.27,3193.27,3193.27,3193.27,3193.27,3193.27,3193.27,3193.27,3193.27
TC Time Avg,397.1,397.1,397.1,397.1,397.1,397.1,397.1,397.1,397.1,397.1,397.1,397.1,397.1,397.1
TC Time STD,14.0957,14.0957,14.0957,14.0957,14.0957,14.0957,14.0957,14.0957,14.0957,14.0957,14.0957,14.0957,14.0957,14.0957
