3,272,51,613,710,407,515,574,376,485,348
4,58,201,436,455,567,353,347,647,474,534
5,343,28,563,572,353,474,557,259,378,268
6,455,33,609,681,351,504,563,254,427,260
7,18,685,379,348,602,252,242,782,413,680
8,181,58,520,582,484,426,426,425,516,445
9,43,377,400,395,622,287,277,718,444,625
----,-----,----,,,,,,,,
----,-----,----,,,,,,,,
k,5,,,,,,,,,
alpha/gamma,1,,,,,,,,,
Hit Rate Avg,0.27931,,,,,,,,,
Hit Rate STD,0.00535921,,,,,,,,,
Precision Avg,0.257943,,,,,,,,,
Precision STD,0.00400471,,,,,,,,,
Recall Avg,0.272213,,,,,,,,,
Recall STD,0.00393941,,,,,,,,,
F1 Score Avg,0.264881,,,,,,,,,
F1 Score STD,0.00383384,,,,,,,,,
Default Process Time Avg,150889,,,,,,,,,
Default Process Time STD,43040.7,,,,,,,,,
KNN Total Time Avg,16800.2,,,,,,,,,
KNN Total Time STD,0.4,,,,,,,,,
KNN Per Image Time Avg,2,,,,,,,,,
KNN Per Image Time STD,0,,,,,,,,,
Preprocess Dimension Time Avg,4478.8,,,,,,,,,
Preprocess Dimension Time STD,998.981,,,,,,,,,
TC Time Avg,35.4,,,,,,,,,
TC Time STD,2.05913,,,,,,,,,
----,Confusion,----,,,,,,,,
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,3073,0,214,174,27,227,289,14,94,20
1,1,3750,24,38,112,17,20,481,35,206
2,314,59,620,620,398,481,573,332,450,330
3,284,53,658,716,399,506,569,383,448,335
4,51,193,451,468,599,327,329,651,465,538
5,361,29,592,584,337,476,548,248,373,247
6,483,31,644,693,346,506,550,241,402,241
7,18,685,360,351,604,243,235,829,404,672
8,184,57,548,592,500,406,440,402,492,442
9,44,375,399,387,638,276,261,756,426,626
----,-----,----,,,,,,,,
----,-----,----,,,,,,,,
k,10,,,,,,,,,
alpha/gamma,1,,,,,,,,,
Hit Rate Avg,0.288286,,,,,,,,,
Hit Rate STD,0.00569769,,,,,,,,,
Precision Avg,0.264488,,,,,,,,,
Precision STD,0.00472705,,,,,,,,,
Recall Avg,0.28088,,,,,,,,,
Recall STD,0.00363068,,,,,,,,,
F1 Score Avg,0.272434,,,,,,,,,
F1 Score STD,0.00415193,,,,,,,,,
Default Process Time Avg,150889,,,,,,,,,
Default Process Time STD,43040.7,,,,,,,,,
KNN Total Time Avg,16800.2,,,,,,,,,
KNN Total Time STD,0.4,,,,,,,,,
KNN Per Image Time Avg,2,,,,,,,,,
KNN Per Image Time STD,0,,,,,,,,,
Preprocess Dimension Time Avg,4478.8,,,,,,,,,
Preprocess Dimension Time STD,998.981,,,,,,,,,
TC Time Avg,35.4,,,,,,,,,
TC Time STD,2.05913,,,,,,,,,
----,Confusion,----,,,,,,,,
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,3158,0,205,154,20,213,287,8,70,17
1,0,3853,17,29,109,9,10,448,24,185
2,327,58,625,630,383,490,577,325,445,317
3,286,50,662,735,379,519,590,340,456,334
4,46,193,415,485,610,303,305,689,466,560
5,353,21,613,602,330,481,561,233,351,250
6,472,27,643,692,348,502,599,239,392,223
7,15,702,302,322,633,196,219,915,373,724
8,183,50,550,606,512,401,437,422,477,425
9,48,374,360,376,651,252,234,811,427,655
----,-----,----,,,,,,,,
----,-----,----,,,,,,,,
k,15,,,,,,,,,
alpha/gamma,1,,,,,,,,,
Hit Rate Avg,0.294,,,,,,,,,
Hit Rate STD,0.00675939,,,,,,,,,
Precision Avg,0.268149,,,,,,,,,
Precision STD,0.00532552,,,,,,,,,
Recall Avg,0.28631,,,,,,,,,
Recall STD,0.00439015,,,,,,,,,
F1 Score Avg,0.276929,,,,,,,,,
