k,1,2,3,4,5,10,15,20,25,50,75,100,150,200
alpha/gamma,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Hit Rate Avg,0.657714,0.657714,0.674024,0.691905,0.703357,0.716833,0.726119,0.731357,0.735286,0.738786,0.740262,0.741429,0.741619,0.741048
Hit Rate STD,0.00752373,0.00752373,0.00489886,0.00595571,0.00592297,0.00612632,0.00299054,0.00197145,0.00187265,0.00321684,0.00376416,0.00330772,0.00438742,0.00515486
Precision Avg,0.652631,0.652631,0.668019,0.685967,0.698059,0.71233,0.722331,0.727962,0.732225,0.736058,0.737821,0.739152,0.73951,0.738853
Precision STD,0.00692219,0.00692219,0.00459872,0.00525569,0.00508288,0.00509291,0.00222102,0.00203235,0.00138018,0.00276211,0.0029742,0.00249585,0.00367496,0.00422089
Recall Avg,0.652754,0.652754,0.668797,0.68733,0.699132,0.712921,0.722477,0.727851,0.731899,0.735415,0.736945,0.738185,0.738423,0.737853
Recall STD,0.00621844,0.00621844,0.00404986,0.00467917,0.00464877,0.00473111,0.00178252,0.0015573,0.00126251,0.00276807,0.00299112,0.00247468,0.00347955,0.00411663
F1 Score Avg,0.652692,0.652692,0.668407,0.686648,0.698595,0.712625,0.722404,0.727906,0.732062,0.735736,0.737382,0.738668,0.738966,0.738352
F1 Score STD,0.00655581,0.00655581,0.00429303,0.00495612,0.00485615,0.00490248,0.00197397,0.00177224,0.00126334,0.00272342,0.00294967,0.00244475,0.00354071,0.00414398
Default Process Time Avg,331213,331213,331213,331213,331213,331213,331213,331213,331213,331213,331213,331213,331213,331213
Default Process Time STD,3627.67,3627.67,3627.67,3627.67,3627.67,3627.67,3627.67,3627.67,3627.67,3627.67,3627.67,3627.67,3627.67,3627.67
KNN Total Time Avg,17687.6,17687.6,17687.6,17687.6,17687.6,17687.6,17687.6,17687.6,17687.6,17687.6,17687.6,17687.6,17687.6,17687.6
KNN Total Time STD,143.723,143.723,143.723,143.723,143.723,143.723,143.723,143.723,143.723,143.723,143.723,143.723,143.723,143.723
KNN Per Image Time Avg,2,2,2,2,2,2,2,2,2,2,2,2,2,2
KNN Per Image Time STD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Preprocess Dimension Time Avg,33730.6,33730.6,33730.6,33730.6,33730.6,33730.6,33730.6,33730.6,33730.6,33730.6,33730.6,33730.6,33730.6,33730.6
Preprocess Dimension Time STD,339.843,339.843,339.843,339.843,339.843,339.843,339.843,339.843,339.843,339.843,339.843,339.843,339.843,339.843
TC Time Avg,136.6,136.6,136.6,136.6,136.6,136.6,136.6,136.6,136.6,136.6,136.6,136.6,136.6,136.6
TC Time STD,2.33238,2.33238,2.33238,2.33238,2.33238,2.33238,2.33238,2.33238,2.33238,2.33238,2.33238,2.33238,2.33238,2.33238
