k,1,2,3,4,5,10,15,20,25,50,75,100,150,200
alpha/gamma,16,16,16,16,16,16,16,16,16,16,16,16,16,16
Hit Rate Avg,0.955286,0.955286,0.959,0.96081,0.961119,0.961595,0.960214,0.95869,0.95681,0.953333,0.949667,0.945619,0.941524,0.937071
Hit Rate STD,0.000977641,0.000977641,0.0010557,0.00071982,0.00157683,0.001584,0.00201806,0.00160427,0.00171594,0.00225374,0.00232237,0.00217098,0.00163819,0.00180639
Precision Avg,0.954928,0.954928,0.958631,0.960407,0.960763,0.961274,0.959892,0.958393,0.95656,0.953199,0.949619,0.945689,0.941764,0.937471
Precision STD,0.00110304,0.00110304,0.000959723,0.000719571,0.00164382,0.00166842,0.00213171,0.00172012,0.00186596,0.00241086,0.00240795,0.00226821,0.00173321,0.00187921
Recall Avg,0.954902,0.954902,0.958659,0.960523,0.960842,0.961337,0.959958,0.95843,0.956558,0.953032,0.949324,0.945242,0.941082,0.936544
Recall STD,0.00110111,0.00110111,0.00101845,0.000771987,0.00163624,0.0016654,0.0021192,0.00172772,0.00182281,0.00245979,0.00253372,0.00240079,0.00186659,0.00206907
F1 Score Avg,0.954915,0.954915,0.958645,0.960465,0.960803,0.961306,0.959925,0.958412,0.956559,0.953116,0.949471,0.945466,0.941423,0.937007
F1 Score STD,0.0010993,0.0010993,0.000987605,0.000742581,0.00163723,0.00166502,0.0021242,0.00172169,0.00184297,0.00243404,0.00247019,0.00233364,0.00179822,0.00196995
Default Process Time Avg,332025,332025,332025,332025,332025,332025,332025,332025,332025,332025,332025,332025,332025,332025
Default Process Time STD,14250.5,14250.5,14250.5,14250.5,14250.5,14250.5,14250.5,14250.5,14250.5,14250.5,14250.5,14250.5,14250.5,14250.5
KNN Total Time Avg,25454.8,25454.8,25454.8,25454.8,25454.8,25454.8,25454.8,25454.8,25454.8,25454.8,25454.8,25454.8,25454.8,25454.8
KNN Total Time STD,10.3808,10.3808,10.3808,10.3808,10.3808,10.3808,10.3808,10.3808,10.3808,10.3808,10.3808,10.3808,10.3808,10.3808
KNN Per Image Time Avg,3,3,3,3,3,3,3,3,3,3,3,3,3,3
KNN Per Image Time STD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Preprocess Dimension Time Avg,139776,139776,139776,139776,139776,139776,139776,139776,139776,139776,139776,139776,139776,139776
Preprocess Dimension Time STD,11321.1,11321.1,11321.1,11321.1,11321.1,11321.1,11321.1,11321.1,11321.1,11321.1,11321.1,11321.1,11321.1,11321.1
TC Time Avg,521.6,521.6,521.6,521.6,521.6,521.6,521.6,521.6,521.6,521.6,521.6,521.6,521.6,521.6
TC Time STD,10.6696,10.6696,10.6696,10.6696,10.6696,10.6696,10.6696,10.6696,10.6696,10.6696,10.6696,10.6696,10.6696,10.6696
