k,1,2,3,4,5,10,15,20,25,50,75,100,150,200
alpha/gamma,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Hit Rate Avg,0.969024,0.969024,0.969905,0.9715,0.972071,0.971143,0.969571,0.967667,0.965857,0.960952,0.955452,0.950238,0.944643,0.939
Hit Rate STD,0.00249137,0.00249137,0.00292227,0.0033991,0.0033061,0.00348759,0.00331081,0.00305059,0.00275656,0.00286309,0.00342468,0.00380506,0.00422477,0.00430129
Precision Avg,0.969115,0.969115,0.970176,0.971748,0.972334,0.971566,0.970194,0.968416,0.966721,0.962224,0.95719,0.952532,0.947667,0.94284
Precision STD,0.00267858,0.00267858,0.00304873,0.00357899,0.00346512,0.00364225,0.00349969,0.003226,0.00297278,0.00304645,0.00364748,0.00397135,0.00431936,0.00440346
Recall Avg,0.968579,0.968579,0.969411,0.971048,0.971657,0.970693,0.969099,0.967152,0.965298,0.960314,0.954794,0.949511,0.943844,0.93809
Recall STD,0.00269189,0.00269189,0.00308679,0.00346117,0.00333685,0.0035617,0.00337305,0.0031182,0.00279339,0.00289769,0.00348199,0.00390175,0.00430479,0.00444409
F1 Score Avg,0.968847,0.968847,0.969794,0.971398,0.971995,0.971129,0.969646,0.967784,0.966009,0.961268,0.955991,0.951019,0.945751,0.940459
F1 Score STD,0.00268348,0.00268348,0.0030616,0.00351755,0.00339891,0.003598,0.00343097,0.00316641,0.00287623,0.0029644,0.00355801,0.00393003,0.00430295,0.0044101
Default Process Time Avg,365264,365264,365264,365264,365264,365264,365264,365264,365264,365264,365264,365264,365264,365264
Default Process Time STD,5651.21,5651.21,5651.21,5651.21,5651.21,5651.21,5651.21,5651.21,5651.21,5651.21,5651.21,5651.21,5651.21,5651.21
KNN Total Time Avg,60644.3,60644.3,60644.3,60644.3,60644.3,60644.3,60644.3,60644.3,60644.3,60644.3,60644.3,60644.3,60644.3,60644.3
KNN Total Time STD,1754.71,1754.71,1754.71,1754.71,1754.71,1754.71,1754.71,1754.71,1754.71,1754.71,1754.71,1754.71,1754.71,1754.71
KNN Per Image Time Avg,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1
KNN Per Image Time STD,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Preprocess Dimension Time Avg,155656,155656,155656,155656,155656,155656,155656,155656,155656,155656,155656,155656,155656,155656
Preprocess Dimension Time STD,659.906,659.906,659.906,659.906,659.906,659.906,659.906,659.906,659.906,659.906,659.906,659.906,659.906,659.906
TC Time Avg,6437,6437,6437,6437,6437,6437,6437,6437,6437,6437,6437,6437,6437,6437
TC Time STD,121.923,121.923,121.923,121.923,121.923,121.923,121.923,121.923,121.923,121.923,121.923,121.923,121.923,121.923
