k,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
alpha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hit Rate Avg,0.96769,0.96769,0.96819,0.969786,0.9705,0.970286,0.970024,0.969643,0.96919,0.968762,0.968476,0.968119,0.967571,0.96719,0.96681,0.966238,0.96581,0.965381,0.964976,0.964595,0.964214,0.963976,0.963238,0.962667,0.96219,0.96169,0.961357,0.961048,0.960571,0.960238,0.959738,0.959119,0.958738,0.958429,0.958119,0.957762,0.957476,0.956976,0.956595,0.956476,0.956095,0.955643,0.955405,0.95519,0.954786,0.954548,0.95431,0.953976,0.953619,0.953214,0.952905,0.952595,0.952167,0.951976,0.951786,0.951571,0.951357,0.950952,0.950762,0.9505,0.950286,0.950095,0.949881,0.949571,0.949357,0.949048,0.948833,0.948571,0.948286,0.948119,0.94781,0.947667,0.9475,0.947429,0.947333,0.947071,0.946786,0.946667,0.946476,0.94631,0.946071,0.945881,0.945714,0.945429,0.945262,0.945,0.944762,0.944571,0.94419,0.943976,0.943786,0.943714,0.943476,0.94331,0.943119,0.94281,0.942762,0.942714,0.942667,0.9425
Hit Rate STD,0.00235714,0.00235714,0.0023695,0.0031415,0.00292857,0.00328157,0.00323398,0.00326156,0.00339601,0.00327984,0.00325102,0.00319696,0.0030857,0.00304129,0.00283363,0.0028488,0.00295699,0.00292227,0.00282813,0.00279506,0.00295286,0.0029336,0.00287928,0.00276601,0.00284681,0.00279181,0.00284531,0.00272346,0.00276683,0.002871,0.00308322,0.00324028,0.00326816,0.00329089,0.00337802,0.00337928,0.00339434,0.00358102,0.00367786,0.00357746,0.00389662,0.00413224,0.00410471,0.00401641,0.00398758,0.00389116,0.00391875,0.00383481,0.00385508,0.00387481,0.00391925,0.00393463,0.0038354,0.00368402,0.00373476,0.00374529,0.00392251,0.00403078,0.00394377,0.00398189,0.00404033,0.00408692,0.00409254,0.00413052,0.00410747,0.00415679,0.00437013,0.00433045,0.00434718,0.00440116,0.0043576,0.00425492,0.00421133,0.00417149,0.0042255,0.0043475,0.00444703,0.00442242,0.00447568,0.00457521,0.00458387,0.00458734,0.00466691,0.00470417,0.0046223,0.00472246,0.00473564,0.00464597,0.00463179,0.00456876,0.00456553,0.00459616,0.00466958,0.00470375,0.00456553,0.00458579,0.00458381,0.0045203,0.00448581,0.0044381
Precision Avg,0.967853,0.967853,0.968563,0.97007,0.97082,0.970658,0.970505,0.970179,0.969769,0.969402,0.969145,0.968822,0.968298,0.967932,0.967575,0.967043,0.966652,0.966262,0.965895,0.965543,0.965202,0.964986,0.964295,0.963749,0.963317,0.962835,0.962533,0.962265,0.961829,0.961527,0.961068,0.960497,0.960158,0.959868,0.959603,0.959285,0.959001,0.958512,0.958154,0.958057,0.957695,0.95727,0.957063,0.956874,0.956509,0.956303,0.956121,0.955837,0.95553,0.955157,0.954881,0.954602,0.954198,0.954048,0.95389,0.953689,0.953487,0.953105,0.952952,0.952725,0.952535,0.952387,0.952194,0.951925,0.951744,0.951482,0.951302,0.951063,0.950811,0.95067,0.950383,0.95026,0.95012,0.950065,0.949968,0.949734,0.949474,0.949359,0.94923,0.949073,0.948864,0.948698,0.948552,0.948301,0.948134,0.947918,0.947703,0.94755,0.947225,0.947036,0.946872,0.946802,0.946607,0.946439,0.946266,0.945999,0.945963,0.945924,0.94588,0.945736
Precision STD,0.00254777,0.00254777,0.00246411,0.00331637,0.00309811,0.00340999,0.00338988,0.00343275,0.00355272,0.0034108,0.00340364,0.00337484,0.00328115,0.00323404,0.00304529,0.00303787,0.00311692,0.00309518,0.00302607,0.00301201,0.00313984,0.00310735,0.00310291,0.00301192,0.00310932,0.00306521,0.00312052,0.0030243,0.00304757,0.00314525,0.00332544,0.00346592,0.00349121,0.00353055,0.00358146,0.00356794,0.00356604,0.00375555,0.00385508,0.00376155,0.00406448,0.00425432,0.00422645,0.00418495,0.00415595,0.0040736,0.00408493,0.00402721,0.00404586,0.00405814,0.00411494,0.00412001,0.00400754,0.00385054,0.00391108,0.00393753,0.00408917,0.00417441,0.00409726,0.00411925,0.00417318,0.00421483,0.0041899,0.00422365,0.00419938,0.00425942,0.00446091,0.00443687,0.00445557,0.00449721,0.00444904,0.00434847,0.00431396,0.00428096,0.00433202,0.00447802,0.00457688,0.00454291,0.00456255,0.00465144,0.00465906,0.0046787,0.00473175,0.00476386,0.00470799,0.00478827,0.00478985,0.00472246,0.00470429,0.00467126,0.00467829,0.00470963,0.00478384,0.00479399,0.00464913,0.0046731,0.00466808,0.00461244,0.00455968,0.0045132
Recall Avg,0.967182,0.967182,0.967642,0.96932,0.970063,0.969855,0.969571,0.969174,0.968708,0.968283,0.967993,0.967647,0.967101,0.96671,0.96632,0.965734,0.965297,0.964835,0.964408,0.964007,0.963638,0.963392,0.962624,0.962047,0.961563,0.961059,0.960721,0.960418,0.959942,0.959613,0.959123,0.958494,0.95811,0.957787,0.957472,0.957118,0.956834,0.956331,0.955951,0.955837,0.955463,0.955012,0.954764,0.954546,0.954147,0.953914,0.953678,0.953339,0.952972,0.952564,0.952256,0.951947,0.951509,0.951318,0.95112,0.9509,0.95068,0.950271,0.95008,0.949807,0.949587,0.949399,0.949174,0.948865,0.948645,0.948319,0.9481,0.947832,0.947553,0.94738,0.947058,0.946918,0.946752,0.94668,0.946585,0.946314,0.946024,0.945898,0.945708,0.945537,0.945302,0.945106,0.944936,0.94465,0.944473,0.944215,0.943974,0.943784,0.9434,0.943171,0.942987,0.942916,0.942674,0.942501,0.942311,0.941994,0.941943,0.941896,0.941852,0.941683
Recall STD,0.00257275,0.00257275,0.00254821,0.00322111,0.00298789,0.00330647,0.00325933,0.00329283,0.00341964,0.00333092,0.00330349,0.00323316,0.00312825,0.00309301,0.00286822,0.00287031,0.00296799,0.00294311,0.00285633,0.00283286,0.00299668,0.00299591,0.00294602,0.0028673,0.00293134,0.00285986,0.00290198,0.00277418,0.00280902,0.00289643,0.00309135,0.00326714,0.00329232,0.00331254,0.00339189,0.00338772,0.00339172,0.00359294,0.00369822,0.00359378,0.00390608,0.00413433,0.00410032,0.00401327,0.0039827,0.00389779,0.00391486,0.00383488,0.00386663,0.00387861,0.00394051,0.00395091,0.00384567,0.00370287,0.00375454,0.00378375,0.00396703,0.00409004,0.00400373,0.00405032,0.00409613,0.0041402,0.00414086,0.00416442,0.00413973,0.00420933,0.00442167,0.00437668,0.00440493,0.00446672,0.00442781,0.00430737,0.00426062,0.00421806,0.00426992,0.00439985,0.00451428,0.00451291,0.00458073,0.00467705,0.0046786,0.00469825,0.00477233,0.0048094,0.00473214,0.00482744,0.00483744,0.00473918,0.00473692,0.00466875,0.00466713,0.00469718,0.00478067,0.00482364,0.00468495,0.00469885,0.00468416,0.00461625,0.00457478,0.00453882
F1 Score Avg,0.967517,0.967517,0.968103,0.969695,0.970441,0.970256,0.970038,0.969676,0.969238,0.968842,0.968569,0.968234,0.967699,0.967321,0.966947,0.966388,0.965974,0.965548,0.965151,0.964774,0.964419,0.964188,0.963459,0.962897,0.962439,0.961946,0.961626,0.961341,0.960885,0.960569,0.960094,0.959494,0.959133,0.958826,0.958536,0.9582,0.957916,0.95742,0.957051,0.956946,0.956578,0.95614,0.955912,0.955709,0.955326,0.955107,0.954898,0.954586,0.954249,0.953859,0.953567,0.953273,0.952852,0.952681,0.952503,0.952292,0.952082,0.951686,0.951514,0.951264,0.951059,0.950891,0.950682,0.950392,0.950192,0.949898,0.949698,0.949445,0.949179,0.949022,0.948717,0.948586,0.948433,0.94837,0.948273,0.948021,0.947746,0.947626,0.947466,0.947302,0.947079,0.946899,0.94674,0.946472,0.9463,0.946062,0.945835,0.945663,0.945308,0.945099,0.944925,0.944855,0.944636,0.944465,0.944284,0.943992,0.943949,0.943906,0.943861,0.943705
F1 Score STD,0.00255757,0.00255757,0.00249883,0.00326637,0.00304111,0.00335668,0.00332182,0.00335869,0.00348162,0.00336534,0.00334762,0.00329884,0.0031991,0.00315701,0.00294983,0.00294841,0.00303561,0.00301147,0.00293317,0.00291526,0.0030613,0.0030436,0.00301751,0.0029317,0.00301258,0.00295512,0.00300439,0.00289258,0.00292167,0.00301497,0.00320171,0.00335921,0.00338378,0.00341385,0.00347959,0.00346935,0.00347054,0.00366631,0.00376866,0.00366969,0.00397788,0.00418733,0.00415497,0.00409128,0.00406099,0.00397822,0.00399237,0.003924,0.00394956,0.00396124,0.00402051,0.00402896,0.00392043,0.00376925,0.003825,0.00385358,0.00402107,0.00412485,0.00404263,0.00407677,0.0041264,0.0041702,0.00415752,0.00418645,0.00416176,0.00422645,0.00443365,0.00439959,0.00442228,0.00447313,0.00442935,0.00431907,0.00427832,0.00424015,0.00429176,0.00442999,0.00453668,0.00451806,0.00455982,0.00465285,0.00465757,0.00467761,0.00474158,0.00477661,0.00470965,0.00479795,0.00480369,0.00472048,0.00470941,0.00465885,0.00466117,0.00469173,0.00477134,0.0047981,0.00465611,0.00467496,0.00466507,0.00460268,0.00455514,0.0045137
Default Process Time Avg,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436,3436
