k,1,2,3,4,5,10,15,20,25,50,75,100,150,200
alpha/gamma,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Hit Rate Avg,0.948143,0.948143,0.95181,0.955238,0.955881,0.956,0.954667,0.953667,0.951833,0.94819,0.944429,0.940476,0.936452,0.932524
Hit Rate STD,0.00302071,0.00302071,0.00232115,0.00176255,0.00241652,0.00277419,0.00258462,0.00264318,0.00272939,0.0034605,0.00321067,0.00301921,0.00302943,0.00334894
Precision Avg,0.947503,0.947503,0.951183,0.954639,0.95534,0.95549,0.954213,0.953266,0.951496,0.947948,0.944292,0.940472,0.93661,0.932793
Precision STD,0.0032921,0.0032921,0.00249292,0.00170508,0.00238037,0.00272776,0.00258252,0.00263383,0.0027253,0.00348336,0.00327693,0.00307269,0.00306666,0.00336911
Recall Avg,0.947624,0.947624,0.951235,0.954834,0.955512,0.95564,0.954361,0.953359,0.951508,0.947767,0.943945,0.939924,0.935853,0.931824
Recall STD,0.00331168,0.00331168,0.0026492,0.00178913,0.00250804,0.00278467,0.0025044,0.00255141,0.00266807,0.00343717,0.0031988,0.00301752,0.00298647,0.00327235
F1 Score Avg,0.947563,0.947563,0.951209,0.954736,0.955426,0.955565,0.954287,0.953313,0.951502,0.947858,0.944118,0.940198,0.936231,0.932308
F1 Score STD,0.00329694,0.00329694,0.00256976,0.00174546,0.0024421,0.00275347,0.00253843,0.00258885,0.0026925,0.00345658,0.00323378,0.00303922,0.00302025,0.00331491
Default Process Time Avg,365264,365264,365264,365264,365264,365264,365264,365264,365264,365264,365264,365264,365264,365264
Default Process Time STD,5651.21,5651.21,5651.21,5651.21,5651.21,5651.21,5651.21,5651.21,5651.21,5651.21,5651.21,5651.21,5651.21,5651.21
KNN Total Time Avg,13036.4,13036.4,13036.4,13036.4,13036.4,13036.4,13036.4,13036.4,13036.4,13036.4,13036.4,13036.4,13036.4,13036.4
KNN Total Time STD,465.732,465.732,465.732,465.732,465.732,465.732,465.732,465.732,465.732,465.732,465.732,465.732,465.732,465.732
KNN Per Image Time Avg,3,3,3,3,3,3,3,3,3,3,3,3,3,3
KNN Per Image Time STD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Preprocess Dimension Time Avg,132187,132187,132187,132187,132187,132187,132187,132187,132187,132187,132187,132187,132187,132187
Preprocess Dimension Time STD,5113.79,5113.79,5113.79,5113.79,5113.79,5113.79,5113.79,5113.79,5113.79,5113.79,5113.79,5113.79,5113.79,5113.79
TC Time Avg,455.1,455.1,455.1,455.1,455.1,455.1,455.1,455.1,455.1,455.1,455.1,455.1,455.1,455.1
TC Time STD,6.71491,6.71491,6.71491,6.71491,6.71491,6.71491,6.71491,6.71491,6.71491,6.71491,6.71491,6.71491,6.71491,6.71491
